scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
12543,Sébastien Vorbe,Haiti,1,0,0,2000-02-14,2000-02-14,12543. Sébastien Vorbe
12544,Harold Wallace,Costa Rica,1,0,0,2000-02-13,2000-02-13,12544. Harold Wallace
12545,Raphael Chukwu,Nigeria,1,0,0,2000-02-13,2000-02-13,12545. Raphael Chukwu
12546,Shurland David,Mexico,1,0,1,2000-02-13,2000-02-13,12546. Shurland David
12547,Gonzalo Martínez,Colombia,1,0,0,2000-02-12,2000-02-12,12547. Gonzalo Martínez
12548,Fawzi Moussouni,Algeria,1,0,0,2000-02-02,2000-02-02,12548. Fawzi Moussouni
12549,Abdoulaye M'Baye,Senegal,1,0,0,2000-02-01,2000-02-01,12549. Abdoulaye M'Baye
12550,Ahmed Salah Hosny,Egypt,1,0,0,2000-02-01,2000-02-01,12550. Ahmed Salah Hosny
12551,Ismaël Koudou,Burkina Faso,1,0,0,2000-02-01,2000-02-01,12551. Ismaël Koudou
12552,Laughter Chilembe,Zambia,1,0,0,2000-02-01,2000-02-01,12552. Laughter Chilembe
12553,Farid Ghazi,Algeria,1,0,0,2000-01-29,2000-01-29,12553. Farid Ghazi
12554,Raymond Kalla,Cameroon,1,0,0,2000-01-28,2000-01-28,12554. Raymond Kalla
12555,Otto Addo,Ghana,1,0,0,2000-01-27,2000-01-27,12555. Otto Addo
12556,Pape Sarr,Senegal,1,0,0,2000-01-25,2000-01-25,12556. Pape Sarr
12557,Salif Keita,Senegal,1,0,0,2000-01-25,2000-01-25,12557. Salif Keita
12558,Dumisa Ngobe,South Africa,1,0,0,2000-01-23,2000-01-23,12558. Dumisa Ngobe
12559,Costas Costa,Cyprus,1,0,0,1999-10-09,1999-10-09,12559. Costas Costa
12560,Gary McSwegan,Scotland,1,0,0,1999-10-09,1999-10-09,12560. Gary McSwegan
12561,Goran Stavrevski,North Macedonia,1,0,0,1999-10-09,1999-10-09,12561. Goran Stavrevski
