team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate
Uganda,685,285,182,218,1030,809,221,1037,72,0.41605839416058393,0.2656934306569343,0.3182481751824818,0.32262773722627736,1.5036496350364963,1.181021897810219,1.513868613138686,0.10510948905109489
Kuwait,683,285,178,220,1065,768,297,1033,80,0.4172767203513909,0.26061493411420206,0.32210834553440704,0.43484626647144947,1.5592972181551976,1.1244509516837482,1.5124450951683748,0.1171303074670571
Trinidad and Tobago,751,321,164,266,1268,999,269,1127,108,0.4274300932090546,0.21837549933422104,0.35419440745672437,0.3581890812250333,1.688415446071904,1.3302263648468708,1.5006657789613849,0.14380825565912117
Mapuche,2,1,0,1,3,2,1,3,0,0.5,0.0,0.5,0.5,1.5,1.0,1.5,0.0
Galicia,10,4,3,3,19,20,-1,15,2,0.4,0.3,0.3,-0.1,1.9,2.0,1.5,0.2
Central Spain,2,1,0,1,2,4,-2,3,0,0.5,0.0,0.5,-1.0,1.0,2.0,1.5,0.0
Délvidék,2,1,0,1,4,3,1,3,0,0.5,0.0,0.5,0.5,2.0,1.5,1.5,0.0
Tamil Eelam,24,12,0,12,58,60,-2,36,8,0.5,0.0,0.5,-0.08333333333333333,2.4166666666666665,2.5,1.5,0.3333333333333333
Austria,859,366,184,309,1540,1315,225,1282,111,0.42607683352735737,0.21420256111757857,0.359720605355064,0.2619324796274738,1.7927823050058207,1.530849825378347,1.4924330616996508,0.12922002328288706
Vietnam,297,128,59,110,489,406,83,443,48,0.43097643097643096,0.19865319865319866,0.37037037037037035,0.27946127946127947,1.6464646464646464,1.367003367003367,1.4915824915824916,0.16161616161616163
Mali,568,232,151,185,746,624,122,847,50,0.4084507042253521,0.2658450704225352,0.3257042253521127,0.2147887323943662,1.3133802816901408,1.0985915492957747,1.4911971830985915,0.0880281690140845
Haiti,508,215,110,183,833,684,149,755,75,0.42322834645669294,0.21653543307086615,0.36023622047244097,0.2933070866141732,1.639763779527559,1.3464566929133859,1.486220472440945,0.14763779527559054
Colombia,636,256,176,204,818,735,83,944,55,0.4025157232704403,0.27672955974842767,0.32075471698113206,0.13050314465408805,1.2861635220125787,1.1556603773584906,1.4842767295597483,0.08647798742138364
Fiji,267,116,48,103,607,437,170,396,55,0.4344569288389513,0.1797752808988764,0.3857677902621723,0.6367041198501873,2.2734082397003745,1.6367041198501873,1.4831460674157304,0.20599250936329588
Qatar,633,260,154,219,895,766,129,934,72,0.4107424960505529,0.24328593996840442,0.3459715639810427,0.2037914691943128,1.4139020537124802,1.2101105845181674,1.4755134281200633,0.11374407582938388
Réunion,124,53,22,49,219,220,-1,181,16,0.4274193548387097,0.1774193548387097,0.3951612903225806,-0.008064516129032258,1.7661290322580645,1.7741935483870968,1.4596774193548387,0.12903225806451613
DR Congo,522,206,143,173,778,625,153,761,57,0.3946360153256705,0.2739463601532567,0.3314176245210728,0.29310344827586204,1.4904214559386972,1.1973180076628354,1.4578544061302683,0.10919540229885058
Honduras,619,247,161,211,909,796,113,902,65,0.3990306946688207,0.26009693053311794,0.3408723747980614,0.1825525040387722,1.4684975767366721,1.2859450726978998,1.45718901453958,0.1050080775444265
United Arab Emirates,612,246,152,214,867,760,107,890,66,0.4019607843137255,0.24836601307189543,0.34967320261437906,0.17483660130718953,1.4166666666666667,1.2418300653594772,1.4542483660130718,0.10784313725490197
Vietnam Republic,195,82,37,76,364,312,52,283,33,0.4205128205128205,0.18974358974358974,0.38974358974358975,0.26666666666666666,1.8666666666666667,1.6,1.4512820512820512,0.16923076923076924
Slovakia,365,148,85,132,514,455,59,529,35,0.4054794520547945,0.2328767123287671,0.36164383561643837,0.16164383561643836,1.4082191780821918,1.2465753424657535,1.4493150684931506,0.0958904109589041
Guadeloupe,271,115,47,109,463,390,73,392,37,0.42435424354243545,0.17343173431734318,0.4022140221402214,0.2693726937269373,1.7084870848708487,1.4391143911439115,1.4464944649446494,0.13653136531365315
Turkey,640,257,152,231,893,903,-10,923,58,0.4015625,0.2375,0.3609375,-0.015625,1.3953125,1.4109375,1.4421875,0.090625
Catalonia,48,19,12,17,75,84,-9,69,5,0.3958333333333333,0.25,0.3541666666666667,-0.1875,1.5625,1.75,1.4375,0.10416666666666667
